layer,object,kind,defined_in,db_rows,columns,column_names,column_types,published,parquet_rows,parquet_bytes,postgres_rows,empty,sample_row,verdict
1 raw,raw_landed,view,00_raw.sql,338,20,session_id session_date cid kind wall events srv href ua dpr perf raf vis pulse dropped class blockers trace msg stack,"VARCHAR DATE VARCHAR VARCHAR BIGINT STRUCT(id BIGINT, ""level"" VARCHAR, ""timestamp"" BIGINT, ""source"" VARCHAR, message VARCHAR, ""data"" STRUCT(beatMs BIGINT, watchMs BIGINT, ""map"" VARCHAR, ""rows"" VARCHAR[], worst VARCHAR, prev VARCHAR, ""next"" VARCHAR, gameMode VARCHAR, mapKind VARCHAR, kind VARCHAR, x DOUBLE, y DOUBLE, power BIGINT, white BOOLEAN, earned BIGINT, fire BOOLEAN, onWater BOOLEAN, big BOOLEAN, radius BIGINT, ""source"" VARCHAR), code VARCHAR)[] BIGINT VARCHAR VARCHAR BIGINT BIGINT BIGINT VARCHAR STRUCT(state VARCHAR, ""mode"" VARCHAR, ""map"" VARCHAR, ""char"" VARCHAR, t DOUBLE, lastTs BIGINT, live BOOLEAN, held BIGINT, hp BIGINT, kills BIGINT, crows BIGINT, skels BIGINT, soldiers BIGINT, arrows BIGINT, boss VARCHAR) BIGINT VARCHAR STRUCT(frozen BIGINT, charging BOOLEAN, dashing BIGINT, buried BOOLEAN, snipeKeyHeld BOOLEAN, snipeKeyName VARCHAR, heldKeys JSON[], x BIGINT, y BIGINT, state VARCHAR, ""char"" VARCHAR, ""map"" VARCHAR) STRUCT(""level"" VARCHAR, frames BIGINT, spans STRUCT(sim STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), tiles STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), fog STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), bodies STRUCT(ms DOUBLE, msMax BIGINT, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), vignette STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), hud STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT))) VARCHAR VARCHAR",no,,,,no,"2026-08-30T15-39-43-490Z, 2026-08-30, , bye, 1788104384031, [], 1788104384032, , , , , , , , , , , , , ",ok
2 typed,alarms,table,10_typed.sql,0,9,session_id page_load_seq client_id srv wall perf class trace_level trace_frames,VARCHAR INTEGER VARCHAR BIGINT BIGINT BIGINT VARCHAR VARCHAR BIGINT,no,,,,yes,,ok
2 typed,beats,table,10_typed.sql,331,10,session_id session_date page_load_seq client_id srv wall perf raf vis event_count,VARCHAR DATE INTEGER VARCHAR BIGINT BIGINT BIGINT BIGINT VARCHAR BIGINT,no,,,,no,"2026-08-30T15-39-43-490Z, 2026-08-30, 1, 2026-08-30T15-39-43-490Z#1, 1788104385366, 1788104385366, 1354, 0, hidden, 1",ok
2 typed,blockers,table,10_typed.sql,0,14,session_id page_load_seq client_id srv class frozen charging dashing buried snipeKeyHeld snipeKeyName held_key_count x y,VARCHAR INTEGER VARCHAR BIGINT VARCHAR BIGINT BOOLEAN BIGINT BOOLEAN BOOLEAN VARCHAR BIGINT BIGINT BIGINT,no,,,,yes,,ok
2 typed,clean,view,10_typed.sql,337,23,cid kind wall events srv href ua dpr perf raf vis pulse dropped class blockers trace msg stack session_date session_id page_load_seq client_id has_native_client_id,"VARCHAR VARCHAR BIGINT STRUCT(id BIGINT, ""level"" VARCHAR, ""timestamp"" BIGINT, ""source"" VARCHAR, message VARCHAR, ""data"" STRUCT(beatMs BIGINT, watchMs BIGINT, ""map"" VARCHAR, ""rows"" VARCHAR[], worst VARCHAR, prev VARCHAR, ""next"" VARCHAR, gameMode VARCHAR, mapKind VARCHAR, kind VARCHAR, x DOUBLE, y DOUBLE, power BIGINT, white BOOLEAN, earned BIGINT, fire BOOLEAN, onWater BOOLEAN, big BOOLEAN, radius BIGINT, ""source"" VARCHAR), code VARCHAR)[] BIGINT VARCHAR VARCHAR BIGINT BIGINT BIGINT VARCHAR STRUCT(state VARCHAR, ""mode"" VARCHAR, ""map"" VARCHAR, ""char"" VARCHAR, t DOUBLE, lastTs BIGINT, live BOOLEAN, held BIGINT, hp BIGINT, kills BIGINT, crows BIGINT, skels BIGINT, soldiers BIGINT, arrows BIGINT, boss VARCHAR) BIGINT VARCHAR STRUCT(frozen BIGINT, charging BOOLEAN, dashing BIGINT, buried BOOLEAN, snipeKeyHeld BOOLEAN, snipeKeyName VARCHAR, heldKeys JSON[], x BIGINT, y BIGINT, state VARCHAR, ""char"" VARCHAR, ""map"" VARCHAR) STRUCT(""level"" VARCHAR, frames BIGINT, spans STRUCT(sim STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), tiles STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), fog STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), bodies STRUCT(ms DOUBLE, msMax BIGINT, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), vignette STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), hud STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT))) VARCHAR VARCHAR DATE VARCHAR INTEGER VARCHAR BOOLEAN",no,,,,no,", hello, 1788104384278, , 1788104384279, http://localhost/, Edge, 1, , , , , , , , , , , 2026-08-30, 2026-08-30T15-39-43-490Z, 1, 2026-08-30T15-39-43-490Z#1, False",ok
2 typed,contract_caps,table,10_typed.sql,5,2,name value,VARCHAR BIGINT,no,,,,no,"events_per_beat, 400",ok
2 typed,contract_reconciliation,view,10_typed.sql,1,5,landed_records clean_records quarantined_records quarantine_rows_all reconciles,BIGINT BIGINT BIGINT BIGINT BOOLEAN,yes,1,819,,no,"338, 337, 1, 1, True",ok
2 typed,errors,table,10_typed.sql,0,9,session_id page_load_seq client_id srv wall msg stack top_frame top_location,VARCHAR INTEGER VARCHAR BIGINT BIGINT VARCHAR VARCHAR VARCHAR VARCHAR,no,,,,yes,,ok
2 typed,events,table,10_typed.sql,848,11,session_id page_load_seq client_id drained_srv drained_by id level timestamp source message code,VARCHAR INTEGER VARCHAR BIGINT VARCHAR BIGINT VARCHAR BIGINT VARCHAR VARCHAR VARCHAR,no,,,,no,"2026-08-30T15-39-43-490Z, 1, 2026-08-30T15-39-43-490Z#1, 1788104385366, beat, 1, info, 1788104385366, recorder, flight recorder on, ",ok
2 typed,landed,view,10_typed.sql,338,23,cid kind wall events srv href ua dpr perf raf vis pulse dropped class blockers trace msg stack session_date session_id page_load_seq client_id has_native_client_id,"VARCHAR VARCHAR BIGINT STRUCT(id BIGINT, ""level"" VARCHAR, ""timestamp"" BIGINT, ""source"" VARCHAR, message VARCHAR, ""data"" STRUCT(beatMs BIGINT, watchMs BIGINT, ""map"" VARCHAR, ""rows"" VARCHAR[], worst VARCHAR, prev VARCHAR, ""next"" VARCHAR, gameMode VARCHAR, mapKind VARCHAR, kind VARCHAR, x DOUBLE, y DOUBLE, power BIGINT, white BOOLEAN, earned BIGINT, fire BOOLEAN, onWater BOOLEAN, big BOOLEAN, radius BIGINT, ""source"" VARCHAR), code VARCHAR)[] BIGINT VARCHAR VARCHAR BIGINT BIGINT BIGINT VARCHAR STRUCT(state VARCHAR, ""mode"" VARCHAR, ""map"" VARCHAR, ""char"" VARCHAR, t DOUBLE, lastTs BIGINT, live BOOLEAN, held BIGINT, hp BIGINT, kills BIGINT, crows BIGINT, skels BIGINT, soldiers BIGINT, arrows BIGINT, boss VARCHAR) BIGINT VARCHAR STRUCT(frozen BIGINT, charging BOOLEAN, dashing BIGINT, buried BOOLEAN, snipeKeyHeld BOOLEAN, snipeKeyName VARCHAR, heldKeys JSON[], x BIGINT, y BIGINT, state VARCHAR, ""char"" VARCHAR, ""map"" VARCHAR) STRUCT(""level"" VARCHAR, frames BIGINT, spans STRUCT(sim STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), tiles STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), fog STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), bodies STRUCT(ms DOUBLE, msMax BIGINT, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), vignette STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), hud STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT))) VARCHAR VARCHAR DATE VARCHAR INTEGER VARCHAR BOOLEAN",no,,,,no,", bye, 1788104384031, [], 1788104384032, , , , , , , , , , , , , , 2026-08-30, 2026-08-30T15-39-43-490Z, 0, 2026-08-30T15-39-43-490Z#0, False",ok
