layer,object,kind,defined_in,db_rows,columns,column_names,column_types,published,parquet_rows,parquet_bytes,postgres_rows,sample_row,verdict
1 raw,raw_landed,view,00_raw.sql,1260,20,session_id session_date cid kind wall href ua dpr srv perf raf vis pulse events msg stack class blockers trace dropped,"VARCHAR DATE VARCHAR VARCHAR BIGINT VARCHAR VARCHAR BIGINT BIGINT BIGINT BIGINT VARCHAR STRUCT(state VARCHAR, ""mode"" VARCHAR, ""map"" VARCHAR, ""char"" VARCHAR, t DOUBLE, lastTs BIGINT, live BOOLEAN, held BIGINT, hp BIGINT, kills BIGINT, crows BIGINT, skels BIGINT, soldiers BIGINT, arrows BIGINT, boss VARCHAR) STRUCT(id BIGINT, ""level"" VARCHAR, ""timestamp"" BIGINT, ""source"" VARCHAR, message VARCHAR, ""data"" MAP(VARCHAR, JSON), code VARCHAR)[] VARCHAR VARCHAR VARCHAR STRUCT(frozen BIGINT, charging BOOLEAN, dashing BIGINT, buried BOOLEAN, snipeKeyHeld BOOLEAN, snipeKeyName VARCHAR, heldKeys JSON[], x DOUBLE, y DOUBLE, state VARCHAR, ""char"" VARCHAR, ""map"" VARCHAR) STRUCT(""level"" VARCHAR, frames BIGINT, spans STRUCT(sim STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), tiles STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), fog STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), bodies STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), vignette STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), hud STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT))) BIGINT",no,,,,"2026-08-30T14-58-28-391Z, 2026-08-30, , hello, 1788101911786, http://localhost/, Chrome, 1, 1788101911788, , , , , , , , , , , ",ok
2 typed,alarms,table,10_typed.sql,4,9,session_id page_load_seq client_id srv wall perf class trace_level trace_frames,VARCHAR INTEGER VARCHAR BIGINT BIGINT BIGINT VARCHAR VARCHAR BIGINT,no,,,,"2026-08-30T14-58-28-391Z, 1, 2026-08-30T14-58-28-391Z#1, 1788102043293, 1788102043292, 132403, logic-freeze, time, 119",ok
2 typed,beats,table,10_typed.sql,1226,10,session_id session_date page_load_seq client_id srv wall perf raf vis event_count,VARCHAR DATE INTEGER VARCHAR BIGINT BIGINT BIGINT BIGINT VARCHAR BIGINT,no,,,,"2026-08-30T14-58-28-391Z, 2026-08-30, 1, 2026-08-30T14-58-28-391Z#1, 1788101912791, 1788101912790, 1901, 5, visible, 2",ok
2 typed,blockers,table,10_typed.sql,4,14,session_id page_load_seq client_id srv class frozen charging dashing buried snipeKeyHeld snipeKeyName held_key_count x y,VARCHAR INTEGER VARCHAR BIGINT VARCHAR BIGINT BOOLEAN BIGINT BOOLEAN BOOLEAN VARCHAR BIGINT DOUBLE DOUBLE,no,,,,"2026-08-30T14-58-28-391Z, 1, 2026-08-30T14-58-28-391Z#1, 1788102043293, logic-freeze, 0, False, 0, False, False, Shift, 0, 80.0, 528.0",ok
2 typed,clean,view,10_typed.sql,1259,23,cid kind wall href ua dpr srv perf raf vis pulse events msg stack class blockers trace dropped session_date session_id page_load_seq client_id has_native_client_id,"VARCHAR VARCHAR BIGINT VARCHAR VARCHAR BIGINT BIGINT BIGINT BIGINT VARCHAR STRUCT(state VARCHAR, ""mode"" VARCHAR, ""map"" VARCHAR, ""char"" VARCHAR, t DOUBLE, lastTs BIGINT, live BOOLEAN, held BIGINT, hp BIGINT, kills BIGINT, crows BIGINT, skels BIGINT, soldiers BIGINT, arrows BIGINT, boss VARCHAR) STRUCT(id BIGINT, ""level"" VARCHAR, ""timestamp"" BIGINT, ""source"" VARCHAR, message VARCHAR, ""data"" MAP(VARCHAR, JSON), code VARCHAR)[] VARCHAR VARCHAR VARCHAR STRUCT(frozen BIGINT, charging BOOLEAN, dashing BIGINT, buried BOOLEAN, snipeKeyHeld BOOLEAN, snipeKeyName VARCHAR, heldKeys JSON[], x DOUBLE, y DOUBLE, state VARCHAR, ""char"" VARCHAR, ""map"" VARCHAR) STRUCT(""level"" VARCHAR, frames BIGINT, spans STRUCT(sim STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), tiles STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), fog STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), bodies STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), vignette STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), hud STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT))) BIGINT DATE VARCHAR INTEGER VARCHAR BOOLEAN",no,,,,", hello, 1788102295260, http://localhost/, Chrome, 1, 1788102295261, , , , , , , , , , , , 2026-08-30, 2026-08-30T15-04-51-872Z, 1, 2026-08-30T15-04-51-872Z#1, False",ok
2 typed,contract_caps,table,10_typed.sql,5,2,name value,VARCHAR BIGINT,no,,,,"events_per_beat, 400",ok
2 typed,contract_reconciliation,view,10_typed.sql,1,5,landed_records clean_records quarantined_records quarantine_rows_all reconciles,BIGINT BIGINT BIGINT BIGINT BOOLEAN,yes,1,819,,"1260, 1259, 1, 1, True",ok
2 typed,errors,table,10_typed.sql,2,9,session_id page_load_seq client_id srv wall msg stack top_frame top_location,VARCHAR INTEGER VARCHAR BIGINT BIGINT VARCHAR VARCHAR VARCHAR VARCHAR,no,,,,"2026-08-30T14-58-28-391Z, 1, 2026-08-30T14-58-28-391Z#1, 1788101938203, 1788101938201, Uncaught Error: flight-recorder self-test, Error: flight-recorder self-test
    at <anonymous>:1:27, , ",ok
2 typed,events,table,10_typed.sql,2079,11,session_id page_load_seq client_id drained_srv drained_by id level timestamp source message code,VARCHAR INTEGER VARCHAR BIGINT VARCHAR BIGINT VARCHAR BIGINT VARCHAR VARCHAR VARCHAR,no,,,,"2026-08-30T14-58-28-391Z, 1, 2026-08-30T14-58-28-391Z#1, 1788101912791, beat, 1, info, 1788101912236, recorder, tab visible, ",ok
2 typed,landed,view,10_typed.sql,1260,23,cid kind wall href ua dpr srv perf raf vis pulse events msg stack class blockers trace dropped session_date session_id page_load_seq client_id has_native_client_id,"VARCHAR VARCHAR BIGINT VARCHAR VARCHAR BIGINT BIGINT BIGINT BIGINT VARCHAR STRUCT(state VARCHAR, ""mode"" VARCHAR, ""map"" VARCHAR, ""char"" VARCHAR, t DOUBLE, lastTs BIGINT, live BOOLEAN, held BIGINT, hp BIGINT, kills BIGINT, crows BIGINT, skels BIGINT, soldiers BIGINT, arrows BIGINT, boss VARCHAR) STRUCT(id BIGINT, ""level"" VARCHAR, ""timestamp"" BIGINT, ""source"" VARCHAR, message VARCHAR, ""data"" MAP(VARCHAR, JSON), code VARCHAR)[] VARCHAR VARCHAR VARCHAR STRUCT(frozen BIGINT, charging BOOLEAN, dashing BIGINT, buried BOOLEAN, snipeKeyHeld BOOLEAN, snipeKeyName VARCHAR, heldKeys JSON[], x DOUBLE, y DOUBLE, state VARCHAR, ""char"" VARCHAR, ""map"" VARCHAR) STRUCT(""level"" VARCHAR, frames BIGINT, spans STRUCT(sim STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), tiles STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), fog STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), bodies STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), vignette STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT), hud STRUCT(ms DOUBLE, msMax DOUBLE, fillRect BIGINT, drawImage BIGINT, fill BIGINT, stroke BIGINT, px BIGINT))) BIGINT DATE VARCHAR INTEGER VARCHAR BOOLEAN",no,,,,", hello, 1788102295260, http://localhost/, Chrome, 1, 1788102295261, , , , , , , , , , , , 2026-08-30, 2026-08-30T15-04-51-872Z, 1, 2026-08-30T15-04-51-872Z#1, False",ok
