state,is_run_state,in_run,note
menu,false,false,title screen
charselect,false,false,character picker
mapselect,false,false,map picker
controls,false,false,controls screen
playing,true,true,sim clock advances
stage_intro,false,true,between stages
boss_entrance,false,true,boss cutscene
boss_fight,true,true,sim clock advances
paused,false,true,pause overlay
chooser,false,true,in-run choice
inventory,false,true,inventory screen
talents,false,true,talent tree
gameover,false,false,run ended
win,false,false,run won
multiplayer,false,false,multiplayer screen
